,class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,z-nuv_mag
1410,1,191.0956499,37.74807767,21.86458778,19.84518051,18.33795738,17.76743889,17.38823128,22.89401627,2.01940727,3.5266303999999997,4.09714889,4.4763565000000005,-1.02942849,1.50722313,2.07774162,2.45694923,-3.04883576,0.57051849,0.9497261,-4.55605889,0.37920761,-5.12657738,-5.50578499
3661,1,179.45203180000001,22.08657567,20.01292419,18.42606163,17.43475723,16.97147179,16.63802719,21.29088783,1.58686256,2.57816696,3.0414524,3.3748970000000003,-1.27796364,0.9913044,1.45458984,1.78803444,-2.8648262000000004,0.46328544,0.79673004,-3.8561306000000006,0.3334446,-4.31941604,-4.65286064
4028,2,202.27229330000003,31.25923396,24.06649399,22.5354805,21.24674606,21.44369507,21.55043602,22.90221024,1.53101349,2.81974793,2.62279892,2.51605797,1.16428375,1.28873444,1.09178543,0.98504448,-0.36672974,-0.19694901,-0.30368996,-1.65546418,-0.10674095,-1.45851517,-1.35177422
6390,2,200.34099530000003,25.56187334,23.60840034,22.025306699999998,22.09451675,21.95153618,22.11879349,23.96661377,1.58309364,1.51388359,1.65686416,1.48960685,-0.35821343,-0.06921005,0.07377052,-0.09348679,-1.94130707,0.14298057,-0.02427674,-1.87209702,-0.16725731,-2.01507759,-1.84782028
7558,2,181.2827395,19.60314291,20.60359001,20.124897,20.10938454,20.18716431,20.01450539,20.63539124,0.47869301,0.49420547,0.41642570000000007,0.58908462,-0.03180123,0.01551246,-0.06226731,0.11039161,-0.51049424,-0.07777977,0.09487915,-0.5260066999999999,0.17265892,-0.44822693,-0.62088585
7210,2,202.5628437,30.30532445,21.34662056,21.02265358,20.70441055,20.69782639,20.4518795,21.22494698,0.32396698,0.64221001,0.64879417,0.89474106,0.12167358,0.31824303,0.32482719,0.57077408,-0.20229339999999998,0.00658416,0.25253105,-0.52053643,0.24594689,-0.52712059,-0.77306748
7058,1,190.92038090000003,26.27460802,22.42142868,21.29880333,19.70843506,18.83565903,18.38491631,22.47332001,1.12262535,2.71299362,3.58576965,4.03651237,-0.05189133,1.59036827,2.4631442999999997,2.91388702,-1.17451668,0.87277603,1.32351875,-2.76488495,0.45074272,-3.63766098,-4.088403700000001
3820,1,209.07940680000002,27.97519294,22.72417641,22.09340668,21.23009491,20.31375313,19.88694572,22.15812492,0.63076973,1.4940815,2.41042328,2.83723069,0.56605149,0.86331177,1.77965355,2.20646096,-0.06471824,0.91634178,1.34314919,-0.92803001,0.42680741,-1.84437179,-2.2711792
2111,1,188.1735997,29.4340195,22.43048859,21.2857132,19.63224792,18.83000565,18.41218376,22.79853249,1.14477539,2.79824067,3.60048294,4.01830483,-0.36804390000000003,1.65346528,2.45570755,2.87352944,-1.51281929,0.80224227,1.22006416,-3.16628457,0.41782189,-3.96852684,-4.38634873
2213,1,188.4486034,34.76019518,24.88310051,20.59762573,18.98262978,18.38664055,17.99380493,22.68351173,4.28547478,5.90047073,6.49645996,6.88929558,2.19958878,1.61499595,2.21098518,2.6038208,-2.085886,0.59598923,0.98882485,-3.70088195,0.39283562,-4.29687118,-4.6897068
