,class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,z-nuv_mag
1088,1,0.9390451081198391,0.7921259165397904,0.8247271855872569,0.8024795668523725,0.8259188809427302,0.7054373683611561,0.7492393217133311,0.8981512406043193,0.5493736352927946,0.4902673005256987,0.7135641659689411,0.6204745866453318,0.4055757652215659,0.27050017424047823,0.6290255880369723,0.5422400218409673,0.3388388613797433,0.8261120105650476,0.6764425580963014,0.25652130945684887,0.4141449095509491,0.13998597814559124,0.17754200960557298
568,1,0.938934507407486,0.6504511039302804,0.7310279388427761,0.7297845193987719,0.7801107778662725,0.6751847158138643,0.7145553627140206,0.843353088783994,0.4917120109757795,0.338157278155532,0.6073789938834844,0.48496182051101905,0.2371809260211457,0.17875722547532122,0.5666308371094195,0.46828989870261917,0.16449225808079762,0.8025365042111207,0.6529319703950697,0.1656136728911246,0.41703188844246075,0.12223884427194731,0.16387995751372017
662,1,0.8780705531058729,0.8709384702664142,0.9015978908763221,0.8310835198641978,0.859504045723188,0.7349757067004113,0.7816106528806376,0.846202710210473,0.6537513438560605,0.6226143449127907,0.7924140276445217,0.7231399646006906,0.646781304170566,0.26756447333561634,0.6271514945765749,0.539638239819703,0.42338319722826406,0.8255458934830634,0.6753421788094617,0.3450887500569191,0.4138672943629376,0.2172183936352507,0.2951868566106209
4729,1,0.9847152453775088,0.7911659516266162,0.6913277558975472,0.7390096285967707,0.7847010247787511,0.7684140151892135,0.7408078708759331,0.7370643226259371,0.2780913067205277,0.18864959850810914,0.22755390099316303,0.2737631015413452,0.3924602608551461,0.20999619502557557,0.4276589506441512,0.4984484248528416,0.5209703359084297,0.588817292387946,0.5953185642705583,0.6577700632119317,0.6003374013335758,0.6341706309532729,0.5552269637480891
4445,1,0.9495078291845356,0.8636706328393432,0.862279154530778,0.8766318333738502,0.8887420225843559,0.8498479099627142,0.8076632466041201,0.8577302911853565,0.4117175835600211,0.42728954415119647,0.4905205921984771,0.5762163101999077,0.5421931352847706,0.4906709118363643,0.6464363403901531,0.6642422604172797,0.5375479404921767,0.6730210166088475,0.6762417535953951,0.556815021742303,0.6297305593880256,0.4850628222588229,0.4043331757244914
1096,1,0.9426357718192537,0.5895699879262419,0.9144457990756111,0.8773105414125428,0.9095083805368018,0.770086762069553,0.812746712310604,0.9082952834220948,0.5942963959107058,0.550527056480522,0.7628807977967971,0.6967172393430237,0.6182656181558217,0.27313612532759607,0.6437972014391058,0.5717899623499051,0.5088253199836587,0.8467395535098647,0.7176621921127123,0.4265873980573582,0.42498892681343325,0.23319026279913083,0.29109239630785894
2703,1,0.9261776748857268,0.5961456098978767,0.7116450292201643,0.7243345007626875,0.790705261176742,0.7724454898448327,0.7386281376644535,0.7664884805669913,0.4545999320337159,0.24430729801974566,0.27449760969378906,0.3904637079778809,0.40646155037472137,0.12626786191206402,0.29422775363422565,0.4184827580741127,0.4889802152210159,0.5966716970658069,0.615107345179907,0.5697403217482315,0.6152624146040481,0.5419595384309486,0.47812707740982713
6659,1,0.871302904240425,0.5624814345868836,0.70958710976049,0.7660427009048698,0.7710143127221492,0.7554142361916172,0.7136768302511108,0.7672268634803887,0.2800552814391784,0.3028609848040526,0.3439293056391554,0.39653527441226233,0.38220782373069534,0.3905925403330077,0.38366079439329,0.45988898383731736,0.46818325694417834,0.4114285316168094,0.45966498904403974,0.5043549464306726,0.7017923095905374,0.47764178612312275,0.4534205027857839
72,2,0.9112894806650067,0.912187823122058,0.7252166778095189,0.8061201516985903,0.9012426046441809,0.7903057795099804,0.8645700230147142,0.7449874031824464,0.33651090264900385,0.06384254408072677,0.4308266477406583,0.21178486847992187,0.46009914241475647,0.09149703271979795,0.5093468883080223,0.3568517442609463,0.6487829623172288,0.7832825927535221,0.569807814980932,0.7390273131693594,0.3779998399286546,0.4946136231159,0.713166841198488
1282,1,0.9868664987037569,0.4759466906812328,0.8524745835128056,0.8763772429835224,0.947992708730611,0.7966846561640082,0.8431286498557624,0.8644776533056164,0.4681573394640548,0.30748547511434504,0.625399123652317,0.5146396597986013,0.5634874238970715,0.17846788767854205,0.6033275957930299,0.5194364077569272,0.6225443527428869,0.8591721136695648,0.7288151778481233,0.6285152849972838,0.42266012869489394,0.35366423063973873,0.46508333915901073
1569,2,0.9557384791224106,0.9563623380866361,0.8153290243877378,0.8657969459436227,0.9701415680010481,0.8676115491346419,0.927557897359852,0.858848676061242,0.41132780032306393,0.16116418751361009,0.463188225414768,0.2900839981266036,0.4790058378322772,0.09229614835962761,0.4835361686154928,0.35949263499273554,0.610885524670666,0.7429782557446528,0.5729645121908126,0.7537344954708052,0.4110041993357148,0.4865658715393672,0.6630403206909052
7186,1,0.9522447562727199,0.7157200613232112,0.9695705982395367,0.9805531481656264,0.9411642204837178,0.8879944915587026,0.827075404070322,0.9322550376705097,0.5882478881928584,0.6940631626486358,0.7840827565165923,0.8231033842357494,0.7742554976157606,0.7971084920911484,0.8186279436565715,0.7881637382332742,0.6580557528444916,0.5432880968597711,0.6597011118310282,0.5406670944524852,0.7981071665768029,0.4146184148732808,0.36000251600976835
5357,1,0.9022583481491765,0.8561287828079267,0.834506542206147,0.8929860287380775,0.9152997660841972,0.8778087445583171,0.8304685285930637,0.8663886217665129,0.20134670942826594,0.29002298772062884,0.3756087993940117,0.4271154828110539,0.4373602933721411,0.43985546463857295,0.6339136827341437,0.6514519601187749,0.542909550927659,0.6925488899628481,0.6827486992475406,0.5942643988764091,0.624344271783297,0.5067245438663841,0.4307589910629101
3827,2,0.9854282629840017,0.8403326307621286,0.7743756001908921,0.8518580356436953,0.9350417464423346,0.925156488081,0.8950624654787872,0.8562331723543869,0.20285849581062582,0.09738588845534914,0.11777748926085713,0.242592218224272,0.3453802278198035,0.12431438504199628,0.3321506856576232,0.4537693995723913,0.5221957639857479,0.5577212075608903,0.570137099899615,0.6703162336405682,0.5941638161224956,0.6600613094337852,0.5986076557224723
3306,1,0.9084158907965071,0.6210084892472774,0.9039776491927427,0.8716594094919149,0.9338322030936038,0.8786939362562465,0.8448526150914795,0.8662074554040583,0.5731646950603189,0.4477927155190387,0.5356162233747824,0.6052255204181652,0.6595137043833335,0.18749935133271053,0.4127040637759462,0.508021705092553,0.6061164463822195,0.7348424193716587,0.6911345771658876,0.6366840134672692,0.6069983786072334,0.5177170106681187,0.46458968723810273
35,2,0.8914992792152842,0.5457353634213808,0.7590935714916582,0.8063558492486805,0.9059099677303044,0.8018274267189975,0.8630941606115502,0.8391077020884228,0.4058217262777125,0.1438249756263794,0.46790427079230623,0.2845634765752287,0.31509110855145395,0.08020950296395472,0.4926244779977649,0.3595296411002197,0.37840324064347136,0.7480582794320635,0.5556252883045594,0.4751759874506389,0.40030844831344115,0.3423355442054983,0.4803214337174134
6303,1,0.9918626465343273,0.7414213592070266,0.864519727333925,0.9124188667026314,0.9095076178012333,0.8739084400274323,0.8152101444666789,0.9000924035892506,0.25271684516401727,0.37585951924552535,0.44852085163334793,0.5122347797480725,0.4628160880928139,0.65301793520407,0.6440647805215877,0.6690060761715126,0.4687822804178286,0.5336543024918815,0.5852642356462157,0.45430705213683703,0.7866140206873935,0.38006214790681536,0.3308420556063893
2469,2,0.9068911024554168,0.6820284219663028,0.700156199693142,0.7626890943715341,0.8607758149532041,0.840562293726446,0.8099118237343764,0.7858022940424096,0.3761260451255498,0.0860773356012724,0.1301113324492465,0.2588398747888725,0.3528242225596552,0.05803218855286376,0.2437556002587764,0.3690383895945628,0.5379623807309714,0.6013572473886893,0.6047990175571644,0.6929273326215465,0.6021557936884003,0.6537740352310414,0.5860892817728747
2742,1,0.9193667240967502,0.5098556173135137,0.809834564786073,0.8633860289054008,0.9749272772621561,0.9631447728139148,0.9299941781876081,0.8213150545504659,0.3916026375740265,0.10582045519088666,0.12866829566084081,0.255094852179271,0.525853200764749,0.05800246114199264,0.22431250256273172,0.3510658958710589,0.7088193740007352,0.563577124560944,0.5782566907306127,0.8812038939867946,0.5986881419889714,0.852837243235151,0.7606387669351579
